target,horizon_months,model,forecast,forecast_date
cpi,1,XGBoost,1.7464703,2024-12-01
cpi,1,NeuralNet,0.077009246,2024-12-01
cpi,3,XGBoost,1.8714323,2024-12-01
cpi,3,NeuralNet,0.7261517,2024-12-01
cpi,6,XGBoost,1.9041437,2024-12-01
cpi,6,NeuralNet,2.8857298,2024-12-01
