date,actual,ARIMA_pred,XGBoost_pred,NeuralNet_pred
2023-01-01,6.7,11.389901941401762,8.05248,7.195025
2023-02-01,6.7,10.026230976977228,7.980354,6.6680145
2023-03-01,4.6,10.814942373322435,3.45196,6.4864707
2023-04-01,3.9,10.28019358696814,1.2574577,6.41804
2023-05-01,4.0,8.296212422725079,1.329301,6.276864
2023-06-01,4.0,8.414341326155853,1.2457488,6.0632234
2023-08-01,3.4,6.887995474396617,7.169254,3.3923185
2023-09-01,3.2,4.446098547237487,7.126093,4.23333
2023-10-01,2.3,4.847786873197725,6.8365917,3.1689444
2023-11-01,2.0,-0.45929720285697273,6.405989,3.3204026
2023-12-01,2.2,0.5248022975027493,5.333883,3.2097175
2024-01-01,2.2,1.7210026076873477,5.334318,2.7113838
2024-02-01,1.7,2.5098832223477023,4.846259,3.3167996
2024-03-01,2.3,1.527285705582857,4.9503703,-0.13464832
2024-04-01,2.6,2.023326475956038,4.8992076,0.13625309
2024-05-01,2.5,1.0360267433560937,5.9625874,0.11123397
